epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb,mode,mode_label,batch_size,run_num
1,30,optimizer_step,1774931465.4364617,1774931465.574947,138.485,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,30,total_step,1774931465.069508,1774931465.57835,508.842,10194.2,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,31,data_transfer,1774931465.6036444,1774931465.6041164,0.472,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,31,forward,1774931465.6067612,1774931465.7724218,165.661,12323.8,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,31,backward,1774931465.775565,1774931465.9049742,129.409,12767.1,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,31,ema_update,1774931466.0171003,1774931466.044191,27.091,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,31,optimizer_step,1774931465.908563,1774931466.047544,138.981,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,31,total_step,1774931465.603632,1774931466.0511525,447.52,10194.2,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,32,data_transfer,1774931466.0766196,1774931466.0770917,0.472,10203.4,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,32,forward,1774931466.08024,1774931466.2477143,167.475,12707.2,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,32,backward,1774931466.2510118,1774931466.3954146,144.403,12771.5,16266.0,finegrained,Mode 3 Fine-Grained,1,1
1,32,ema_update,1774931466.5074973,1774931466.534573,27.076,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,32,optimizer_step,1774931466.3990357,1774931466.5377295,138.694,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,32,total_step,1774931466.076607,1774931466.5415108,464.904,10194.2,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,33,data_transfer,1774931466.573675,1774931466.5741415,0.467,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,33,forward,1774931466.5768754,1774931466.7435708,166.695,12596.8,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,33,backward,1774931466.7467525,1774931466.887782,141.029,12787.6,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,33,ema_update,1774931466.999352,1774931467.0264597,27.108,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,33,optimizer_step,1774931466.8911886,1774931467.030023,138.835,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,33,total_step,1774931466.573663,1774931467.0334835,459.821,10194.2,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,34,data_transfer,1774931467.0658226,1774931467.0662906,0.468,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,34,forward,1774931467.0695682,1774931467.2645502,194.982,13643.5,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,34,backward,1774931467.2679913,1774931467.4554317,187.44,12769.7,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,34,ema_update,1774931467.5670118,1774931467.5941048,27.093,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,34,optimizer_step,1774931467.4587765,1774931467.5974605,138.684,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,34,total_step,1774931467.065811,1774931467.6007245,534.914,10194.2,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,35,data_transfer,1774931467.6315742,1774931467.632048,0.474,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,35,forward,1774931467.634791,1774931467.82065,185.859,13248.8,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,35,backward,1774931467.8244612,1774931467.9906583,166.197,12785.0,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,35,ema_update,1774931468.1035268,1774931468.1306534,27.127,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,35,optimizer_step,1774931467.9950066,1774931468.1341429,139.136,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,35,total_step,1774931467.631562,1774931468.1374164,505.854,10194.2,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,36,data_transfer,1774931468.1731107,1774931468.173582,0.471,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,36,forward,1774931468.1763773,1774931468.3666475,190.27,13435.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,36,backward,1774931468.3703032,1774931468.5480049,177.702,12783.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,36,ema_update,1774931468.6598942,1774931468.6869996,27.105,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,36,optimizer_step,1774931468.551616,1774931468.6907177,139.102,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,36,total_step,1774931468.1730988,1774931468.69409,520.991,10194.2,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,37,data_transfer,1774931468.72686,1774931468.727329,0.469,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,37,forward,1774931468.7309642,1774931468.896331,165.367,12314.6,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,37,backward,1774931468.899606,1774931469.0275462,127.94,12768.5,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,37,ema_update,1774931469.1394577,1774931469.1665428,27.085,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,37,optimizer_step,1774931469.0311112,1774931469.1701922,139.081,10203.4,16268.0,finegrained,Mode 3 Fine-Grained,1,1
1,37,total_step,1774931468.7268472,1774931469.173426,446.579,10194.2,16268.0,finegrained,Mode 3 Fine-Grained,1,1
